t,f_LJ,f_C,T_v,E_LJ
1734027742,1.07302e-20,2.32701e-14,2.03234e+10,-3.35271e-21
1734027742,1.07302e-20,2.85447e-14,3.90672e+09,-3.35271e-21
1734027742,1.07311e-20,2.91554e-14,2.47804e+10,-3.35368e-21
1734027742,1.07311e-20,8.35348e-15,5.12835e+09,-3.35368e-21
1734027742,1.07324e-20,4.81718e-14,2.39137e+11,-3.35514e-21
1734027742,1.07324e-20,8.93951e-14,4.61257e+10,-3.35514e-21
1734027742,1.07343e-20,2.94791e-14,2.85695e+10,-3.35709e-21
1734027742,1.07343e-20,1.30339e-14,5.82017e+09,-3.35709e-21
1734027742,1.07365e-20,3.07564e-14,3.52821e+10,-3.35952e-21
1734027742,1.07365e-20,1.08851e-14,7.25613e+09,-3.35952e-21
1734027742,1.07392e-20,3.22535e-14,4.33118e+10,-3.36244e-21
1734027742,1.07392e-20,6.14443e-15,8.9511e+09,-3.36244e-21
1734027742,1.07422e-20,3.29299e-14,4.04314e+10,-3.36585e-21
1734027742,1.07422e-20,2.79335e-15,8.37712e+09,-3.36585e-21
1734027742,1.07457e-20,3.2567e-14,2.60251e+10,-3.36975e-21
1734027742,1.07457e-20,6.40708e-15,5.43331e+09,-3.36975e-21
1734027742,1.07495e-20,3.30821e-14,2.0473e+10,-3.37414e-21
1734027742,1.07495e-20,5.40971e-15,4.31003e+09,-3.37414e-21
1734027742,1.07536e-20,3.30386e-14,1.51323e+10,-3.37902e-21
1734027742,1.07536e-20,6.91998e-15,3.19677e+09,-3.37902e-21
1734027742,1.07581e-20,3.36212e-14,2.82049e+10,-3.38439e-21
1734027742,1.07581e-20,3.76425e-15,5.82307e+09,-3.38439e-21
1734027742,1.07628e-20,1.01619e-13,3.3108e+12,-3.39025e-21
1734027742,1.07628e-20,1.11161e-12,6.53119e+11,-3.39025e-21
1734027742,1.07677e-20,3.4443e-14,5.79614e+10,-3.39661e-21
1734027742,1.07677e-20,2.49605e-14,1.19382e+10,-3.39661e-21
1734027742,1.07729e-20,3.43927e-14,5.78072e+10,-3.40346e-21
1734027742,1.07729e-20,2.4875e-14,1.19292e+10,-3.40346e-21
1734027742,1.07782e-20,3.43419e-14,5.76376e+10,-3.4108e-21
1734027742,1.07782e-20,2.47804e-14,1.1917e+10,-3.4108e-21
1734027742,1.07836e-20,3.42908e-14,5.74539e+10,-3.41864e-21
1734027742,1.07836e-20,2.46775e-14,1.19018e+10,-3.41864e-21
1734027742,1.0789e-20,3.42394e-14,5.72573e+10,-3.42697e-21
1734027742,1.0789e-20,2.4567e-14,1.18838e+10,-3.42697e-21
1734027742,1.07945e-20,3.4188e-14,5.70494e+10,-3.4358e-21
1734027742,1.07945e-20,2.44499e-14,1.18633e+10,-3.4358e-21
1734027742,1.07999e-20,3.41366e-14,5.68314e+10,-3.44513e-21
1734027742,1.07999e-20,2.43271e-14,1.18405e+10,-3.44513e-21
1734027742,1.08051e-20,3.40855e-14,5.66048e+10,-3.45495e-21
1734027742,1.08051e-20,2.41993e-14,1.18158e+10,-3.45495e-21
1734027742,1.08101e-20,3.40348e-14,5.63709e+10,-3.46528e-21
1734027742,1.08101e-20,2.40676e-14,1.17892e+10,-3.46528e-21
1734027742,1.08148e-20,3.39845e-14,5.61311e+10,-3.4761e-21
1734027742,1.08148e-20,2.39328e-14,1.17611e+10,-3.4761e-21
1734027742,1.08192e-20,3.39348e-14,5.58867e+10,-3.48742e-21
1734027742,1.08192e-20,2.37958e-14,1.17318e+10,-3.48742e-21
1734027742,1.08231e-20,3.38863e-14,5.56389e+10,-3.49924e-21
1734027742,1.08231e-20,2.3657e-14,1.17014e+10,-3.49924e-21
1734027742,1.08264e-20,3.38384e-14,5.53891e+10,-3.51156e-21
1734027742,1.08264e-20,2.35177e-14,1.16703e+10,-3.51156e-21
1734027742,1.0829e-20,3.37917e-14,5.51384e+10,-3.52438e-21
1734027742,1.0829e-20,2.33783e-14,1.16385e+10,-3.52438e-21
1734027742,1.08308e-20,3.37462e-14,5.4888e+10,-3.53769e-21
1734027742,1.08308e-20,2.32397e-14,1.16065e+10,-3.53769e-21
1734027742,1.08318e-20,3.3702e-14,5.46389e+10,-3.55151e-21
1734027742,1.08318e-20,2.31026e-14,1.15743e+10,-3.55151e-21
1734027742,1.08317e-20,3.36592e-14,5.43922e+10,-3.56582e-21
1734027742,1.08317e-20,2.29674e-14,1.15421e+10,-3.56582e-21
1734027742,1.08304e-20,3.3618e-14,5.41489e+10,-3.58062e-21
1734027742,1.08304e-20,2.28349e-14,1.15103e+10,-3.58062e-21
1734027742,1.08277e-20,3.35784e-14,5.39097e+10,-3.59592e-21
1734027742,1.08277e-20,2.27056e-14,1.14789e+10,-3.59592e-21
1734027742,1.08235e-20,3.35406e-14,5.36757e+10,-3.61171e-21
1734027742,1.08235e-20,2.258e-14,1.14481e+10,-3.61171e-21
1734027742,1.08177e-20,3.35045e-14,5.34475e+10,-3.62799e-21
1734027742,1.08177e-20,2.24585e-14,1.14181e+10,-3.62799e-21
1734027742,1.081e-20,3.34704e-14,5.32259e+10,-3.64474e-21
1734027742,1.081e-20,2.23417e-14,1.1389e+10,-3.64474e-21
1734027742,1.08001e-20,3.34383e-14,5.30115e+10,-3.66198e-21
1734027742,1.08001e-20,2.22298e-14,1.1361e+10,-3.66198e-21
1734027742,1.07881e-20,3.34082e-14,5.28049e+10,-3.6797e-21
1734027742,1.07881e-20,2.21233e-14,1.13342e+10,-3.6797e-21
1734027742,1.07734e-20,3.33802e-14,5.26067e+10,-3.69788e-21
1734027742,1.07734e-20,2.20225e-14,1.13087e+10,-3.69788e-21
1734027742,1.0756e-20,3.33545e-14,5.24173e+10,-3.71653e-21
1734027742,1.0756e-20,2.19277e-14,1.12846e+10,-3.71653e-21
1734027742,1.07355e-20,3.3331e-14,5.22371e+10,-3.73562e-21
1734027742,1.07355e-20,2.1839e-14,1.12621e+10,-3.73562e-21
1734027742,1.07117e-20,3.33095e-14,5.20666e+10,-3.75517e-21
1734027742,1.07117e-20,2.17571e-14,1.12411e+10,-3.75517e-21
1734027742,1.06843e-20,3.32905e-14,5.19061e+10,-3.77515e-21
