f_v,fc_v,t_v
0.0410866,1.04596e-10,1.95827e+16
0.0410866,2.83049e-11,3.84411e+15
0.0409646,1.16695e-10,3.20328e+16
0.0409646,3.66293e-11,5.24581e+15
0.0407827,9.73478e-11,1.3417e+16
0.0407827,2.1216e-11,2.98304e+15
0.0405422,1.20008e-10,3.56441e+16
0.0405422,3.51296e-11,6.00215e+15
0.0402448,2.88423e-10,6.47707e+17
0.0402448,3.56117e-10,9.51865e+16
0.0398922,1.24997e-10,4.41169e+16
0.0398922,5.91933e-11,6.02476e+15
0.0394868,1.29596e-10,5.21474e+16
0.0394868,6.65598e-11,7.05495e+15
0.0390312,1.35809e-10,6.47841e+16
0.0390312,7.85128e-11,8.6557e+15
0.038528,1.45098e-10,8.79495e+16
0.038528,1.01528e-10,1.15248e+16
0.0379803,1.61904e-10,1.44661e+17
0.0379803,1.63473e-10,1.81797e+16
0.0373912,2.06237e-10,3.86378e+17
0.0373912,4.91427e-10,4.099e+16
0.036764,2.58869e-10,4.11481e+17
0.036764,4.78037e-10,4.83213e+16
0.0361021,8.26661e-10,2.13466e+19
0.0361021,3.36297e-09,3.18883e+18
0.035409,1.2313e-10,3.76827e+16
0.035409,7.74867e-11,1.12075e+15
0.034688,1.23124e-10,3.7687e+16
0.034688,7.7482e-11,1.11977e+15
0.0339428,1.23118e-10,3.76915e+16
0.0339428,7.74771e-11,1.11868e+15
0.0331766,1.23113e-10,3.76961e+16
0.0331766,7.74721e-11,1.11748e+15
0.032393,1.23106e-10,3.77008e+16
0.032393,7.74667e-11,1.11618e+15
0.0315951,1.231e-10,3.77056e+16
0.0315951,7.74612e-11,1.1148e+15
0.0307862,1.23094e-10,3.77106e+16
0.0307862,7.74556e-11,1.11336e+15
0.0299692,1.23087e-10,3.77156e+16
0.0299692,7.74497e-11,1.11185e+15
0.0291471,1.23081e-10,3.77208e+16
0.0291471,7.74437e-11,1.1103e+15
0.0283227,1.23074e-10,3.77261e+16
0.0283227,7.74376e-11,1.10871e+15
0.0274983,1.23067e-10,3.77315e+16
0.0274983,7.74313e-11,1.1071e+15
0.0266766,1.23061e-10,3.77371e+16
0.0266766,7.74249e-11,1.10547e+15
0.0258596,1.23054e-10,3.77427e+16
0.0258596,7.74184e-11,1.10384e+15
0.0250495,1.23047e-10,3.77485e+16
0.0250495,7.74117e-11,1.10221e+15
0.024248,1.2304e-10,3.77544e+16
0.024248,7.7405e-11,1.1006e+15
0.0234567,1.23033e-10,3.77604e+16
0.0234567,7.73982e-11,1.09901e+15
0.0226773,1.23026e-10,3.77666e+16
0.0226773,7.73912e-11,1.09745e+15
0.021911,1.23019e-10,3.77729e+16
0.021911,7.73842e-11,1.09593e+15
0.021159,1.23012e-10,3.77792e+16
0.021159,7.73771e-11,1.09445e+15
0.0204223,1.23005e-10,3.77858e+16
0.0204223,7.737e-11,1.09303e+15
0.0197016,1.22998e-10,3.77924e+16
0.0197016,7.73627e-11,1.09166e+15
0.0189978,1.22991e-10,3.77992e+16
0.0189978,7.73554e-11,1.09036e+15
0.0183114,1.22985e-10,3.7806e+16
0.0183114,7.7348e-11,1.08912e+15
0.0176429,1.22978e-10,3.7813e+16
0.0176429,7.73405e-11,1.08796e+15
0.0169926,1.22971e-10,3.78201e+16
0.0169926,7.7333e-11,1.08688e+15
0.0163607,1.22965e-10,3.78274e+16
0.0163607,7.73255e-11,1.08587e+15
0.0157474,1.22958e-10,3.78347e+16
0.0157474,7.73178e-11,1.08495e+15
0.0151527,1.22952e-10,3.78422e+16
0.0151527,7.73102e-11,1.08412e+15
0.0145767,1.22945e-10,3.78498e+16
0.0145767,7.73024e-11,1.08337e+15
0.0140192,1.22939e-10,3.78576e+16
0.0140192,7.72946e-11,1.08272e+15
0.0134801,1.22933e-10,3.78654e+16
0.0134801,7.72867e-11,1.08216e+15
0.0129592,1.22927e-10,3.78734e+16
0.0129592,7.72788e-11,1.0817e+15
0.0124563,1.22921e-10,3.78815e+16
0.0124563,7.72709e-11,1.08133e+15
0.0119709,1.22915e-10,3.78897e+16
0.0119709,7.72628e-11,1.08105e+15
0.0115029,1.22909e-10,3.7898e+16
0.0115029,7.72547e-11,1.08087e+15
0.0110519,1.22904e-10,3.79065e+16
0.0110519,7.72465e-11,1.08079e+15
0.0106174,1.22898e-10,3.79151e+16
0.0106174,7.72383e-11,1.0808e+15
0.0101992,1.22893e-10,3.79238e+16
0.0101992,7.723e-11,1.08091e+15
0.00979666,1.22887e-10,3.79326e+16
0.00979666,7.72217e-11,1.08112e+15
